document	paired	differing	worst	sum_abs	unpairable_pages
003__doc	0	0	0.00	0.00	0
02_mcar_part-2_and_IS_v2.10__docx	34	26	17.20	137.40	6
03_Technical_Report_(progress)_template__docx	70	0	0.00	5.25	0
07-04__doc	6	3	14.05	42.15	1
09__docx	0	0	0.00	0.00	0
0c662f5c948a7d81d32ffd833c5cc59421a5f522__docx	0	0	0.00	0.00	0
10795__doc	25	3	13.80	41.40	0
120509coss__doc	0	0	0.00	0.00	0
1228841571067_2009_TPPT_13__2007_TPPT_102__R-108535759__doc	0	0	0.00	0.00	0
1244277 1 Comment__doc	0	0	0.00	0.00	0
1245685 1 Comment__doc	0	0	0.00	0.00	0
1257259179492_2007_TPPT_102_Supporting_Doc_2-434003080__doc	0	0	0.00	0.00	0
135__doc	10	7	111.40	477.75	2
1447__doc	0	0	0.00	0.00	0
150-5370-10H__docx	54	39	252.15	1882.40	29
150_5300_13_chg10__doc	5	5	408.60	1709.20	28
150_5300_13_chg12__doc	23	14	78.35	397.00	9
150_5300_13_chg8__doc	0	0	0.00	0.00	8
150_5335_5a__doc	0	0	0.00	0.00	5
1528039320__docx	20	0	0.00	0.30	0
1528364855__doc	69	17	16.25	134.69	0
1603642410-MoM-CASCOM-06-2020-draft04__docx	33	4	14.30	58.20	0
19-06 Assistive Technology TAB Final - 508__docx	0	0	0.00	0.00	0
191216_Lesefassung_Nachtflugregelung__docx	0	0	0.00	0.00	0
195584360__docx	45	12	9.95	70.25	1
1_tpr_template__from_fy14___docx	0	0	0.00	0.00	2
20110608_psp__docx	0	0	0.00	0.00	0
2013-op12-Annex III - Curriculum Vitae__doc	0	0	0.00	0.00	0
2013_11__doc	14	8	43.95	205.05	0
2015-April-SWIM_Users_Forum-Q&A__docx	12	3	1.80	6.30	2
2024-12_Comlux_opens_Maintenance_and_Service_Center_in_Dubai__docx	0	0	0.00	0.00	0
2024-2nd-quarter-case-summaries__doc	0	0	0.00	0.00	0
231164_SystemDesignDocument__docx	19	16	34.50	552.00	0
237287_0486190101_0486190101_geolink2neu__doc	25	10	18.05	108.75	1
24-25_FAA_Holdover_Tables__docx	1521	26	13.00	283.05	7
2ca950374241722b8ea7c132dfce63ae__doc	3	0	0.00	0.90	2
300502-Mecenat-Airbus-Simusante_CHU-Amiens-Picardie__doc	0	0	0.00	0.00	0
316r_a_e__doc	3	0	0.00	0.15	0
316r_a_f__doc	3	0	0.00	0.15	0
33004__docx	155	29	516.15	3273.92	6
361400CSLegislation1RF01PUBLIC1__doc	0	0	0.00	0.00	0
4400-91_Proposal_To_Lease_Space_10-2024__docx	35	2	3.50	17.20	0
461249__docx	4	4	15.25	59.88	0
5709.16 ch.40_mgfinal__docx	68	9	289.30	1048.20	1
62599_FRANCE-BRAZIL- Air France Flight 447 crash__docx	0	0	0.00	0.00	0
644730BRI0mna000BOX361539B00public0__doc	0	0	0.00	0.00	0
762__doc	10	3	28.60	86.25	1
96-3-clement-data__doc	0	0	0.00	0.00	0
A1. EASA Form 2__docx	11	9	243.35	1274.52	6
A320SimNotes__doc	26	25	476.90	2538.85	14
A380MaenPressRel__doc	0	0	0.00	0.00	0
AAC-AD-No-2021-01-Boeing-737-8-and-737-9-MAX__doc	0	0	0.00	0.00	4
ABCD-FE-01-00 Flight Envelope - v1 08.03.16__docx	18	0	0.00	5.82	6
ABCD-SDE-23-00 - Avionic System Description - 17.02.16 - v1__docx	97	35	138.30	1433.02	8
ABCD-WB-08-00 Weight and Balance Report - v1 08.03.16__docx	61	28	100.10	1265.27	2
AC-150-5370-10G-updated-201604__docx	16	16	84.80	948.40	20
AFS-050-004-F2_0i__docx	9	7	231.85	493.12	7
AUWG min 4-3-24 final__docx	0	0	0.00	0.00	0
AW-104D-RVSM-Aircraft-Approval-Checklist.pdf__docx	2	0	0.00	0.10	0
AWR OPS-AOC 044 Statement of Compliance RVSM  Rev 04 01 Feb 2024__docx	103	65	547.25	4674.34	6
A_320__doc	462	340	130.42	3698.33	20
Agile_Arc_SysDes__docx	27	3	13.45	45.65	0
AirbusCallouts__doc	147	70	33.40	524.10	6
Allegiant_Company_Profile_with_History__docx	0	0	0.00	0.00	0
Annex-10-to-the-Aircraft-Maintenance-Specialist-Certification-Rule-GCAA__docx	0	0	0.00	0.00	0
B11. TE.CAO.00129  Experience  logbook__docx	33	24	55.25	1317.50	0
BID_ACKNOWLEDGEMENT_FORM_FOR_A320__docx	3	3	2.55	7.65	0
Bull01-06-Reserve Training Standards__doc	0	0	0.00	0.00	0
CMTA_Airport_Transportation__docx	0	0	0.00	0.00	0
CP-ETSO template_v2020__doc	46	0	0.00	1.50	0
CRIF - SpÃ©cification technique - Socle applicatif__docx	5	0	0.00	2.50	0
CSCRS_Technical-Report-Documentation-Page-with-instructions__docx	10	5	2.85	13.11	0
Case-Study-Heathrow-Airport__docx	4	4	537.45	1716.90	2
Checklist for TC STC ETSO data packages to FAA_TIP rev 5__docx	0	0	0.00	0.00	3
Company-profile-2022-EN__docx	0	0	0.00	0.00	0
Contract_Check_Pilot_Sample_LOA__docx	0	0	0.00	0.00	0
DEP2008-1900__doc	4	0	0.00	2.55	0
DOA_Template_Form_Type_Certification_Programme__docx	46	46	274.00	801.00	9
DRX-Ascend System Course Description__docx	5	0	0.00	0.15	0
ECSS-E-ST-50-16C-Annex-A(30September2021)__docx	12	4	11.75	47.90	2
EHEST-SMS-Safety-Management-Manual-V2__docx	61	46	181.15	1853.61	8
ESPN-R - MCF - Manual - Ed1.0 - For Publication__docx	181	146	4.20	406.55	5
ESPN-R - MCF - RA - Ed1__docx	539	105	478.30	12004.45	17
FAA 2025-26 Holdover Tables__docx	1937	12	8.00	205.00	8
FAA-2013-0422-0009_attachment_1__doc	0	0	0.00	0.00	0
FAA-2017-0628-0002_attachment_1__docx	0	0	0.00	0.00	0
FAA-High-Level-Org-Chart__docx	0	0	0.00	0.00	0
FG-AI4NDM-TR-skeleton_template__docx	7	1	1.05	1.35	0
FMRBullletinB-28__doc	0	0	0.00	0.00	0
FO.FCTOA.00010 Application for a Part-ORA ATO Approval__docx	2	2	2.55	5.10	14
FO.FCTOA_.000129 Application for activities related to FSTD__docx	12	12	347.76	1523.54	5
FRE-03_mcar_part-3_and_IS_v2.9__docx	32	18	103.82	423.44	18
FlightLaws__doc	0	0	0.00	0.00	4
Form-SM-76A-_-CAR-OPS-2A-Instruments-and-Equipment-Compliance-Statement-_-11__docx	17	8	17.30	118.60	1
GLACIERBG.ETT__doc	0	0	0.00	0.00	0
HC-Bulletin-template__docx	2	0	0.00	0.00	0
How-to-Write-an-Architecture-Document-for-a-Technology-Service__docx	0	0	0.00	0.00	0
II.1.2_Hypoxia__doc	0	0	0.00	0.00	0
Interview-mit-Manfred1-Müller__docx	0	0	0.00	0.00	0
JEMIT_Template__docx	19	0	0.00	3.80	1
LENTOBUSSIAIKATAULU.-31.10.-31.12.2022__doc	0	0	0.00	0.00	0
LHD-230-application-for-the-approval-of-an-aircraftr__doc	6	0	0.00	0.25	0
Leadership Information Article__docx	0	0	0.00	0.00	0
