path	pages	first_page	of	ink	dominant	gdelta	only_ours	only_ref	blank_ref	text
words/batch-006/docx/f445896eb008d14c1746fc37d412dc22.docx	15/16	3	15	1.09	box	0	116	68	3	its desired trajectory. These new interstages were redesigned in a way that minimises cost
words/batch-008/docx/FAA-2017-0628-0002_attachment_1.docx	4/4	1	4	0.96	glyphs	1	8	13	2	RULEMAKING PAPER—“AIRWORTHINESS DIRECTIVES: AIRBUS AIRPLANES” 1 July 1 -RULEMAKING PAPER-“
words/batch-010/docx/5709.16 ch.40_mgfinal.docx	31/32	1	31	0.67	box	7	46	57	5	5709.16 ch.40_mgfinal.docx Page 1 of 32 FOREST SERVICE HANDBOOK NATIONAL HEADQUARTERS (WO)
words/batch-011/docx/review-welsh-government-communications-mister-peter-mandelson.docx	16/14	1	14	0.78	face	1	18	37	20	REVIEW OF WELSH GOVERNMENT COMMUNICATIONS WITH MISTER PETER MANDELSON Remit The Leader of 
words/batch-012/doc/手机免提系统TSB.doc	2/2	1	2	0.80	glyphs	41	343	82	8	长安福特技术服务公告 CAF TSB ————————————————————————————————————————— 关键词：手机免提系统模块—检修 文号： 2004-02-0
words/batch-013/docx/AW-104D-RVSM-Aircraft-Approval-Checklist.pdf.docx	2/2	1	2	0.89	glyphs	32	137	60	7	RVSM Aircraft Approval Checklist AW 104D DQ - Serial Number: Model Operator: Variable Numb
words/batch-013/docx/A1. EASA Form 2.docx	9/7	1	7	1.70	glyphs	131	43	29	8	European Aviation Safety Agency Form EASA Form 2 Application for Part-145 and Part-M Subpa
words/batch-013/docx/template---tpr-technical-progress-report-with-guidance.docx	7/8	2	7	0.97	glyphs	24	36	26	7	Project/ Programme Technical Report Guidance and Template PART 1: GENERAL NARRATIVE REPORT
words/batch-014/doc/1228841571067_2009_TPPT_13__2007_TPPT_102__R-108535759.doc	13/12	1	12	0.49	glyphs	3	18	37	12	Research paper on susceptibility to sulfuryl fluoride Submission number: 2007-TPPT-102 200
words/batch-014/doc/1257259179492_2007_TPPT_102_Supporting_Doc_2-434003080.doc	10/9	1	9	0.77	glyphs	35	7	38	10	RESEARCH BULLETIN OF THE PLANT PROTECTION SERVICE (Res. Bull. Pl. Prot. Japan) No.40: 19-2
words/batch-014/doc/omrIMInterpretiveGuideLine.doc	2/2	1	2	3.76	glyphs	57	4	37	5	MENTAL RETARDATION BULLETIN November 27, 2002 Immediately 00-02-15 DATE OF ISSUE EFFECTIVE
words/batch-014/docx/FO.FCTOA.00010 Application for a Part-ORA ATO Approval.docx	15/16	1	15	1.63	glyphs	138	77	27	6	European Aviation Safety Agency Form Application for a Part – ORA ATO Approval 1 Applicant
words/batch-015/doc/A320SimNotes.doc	40/42	1	40	0.41	one-sided	0	28	32	7	A319/320/321 PC/PT/RLF NOTES DO NOT USE FOR FLIGHT OPERATIONS The purpose of these notes i
words/batch-014/docx/xx_SETIS_PWS_template_10.19.22.docx	15/15	2	15	0.36	glyphs	93	37	70	4	Task Order Form DTFAWA-2X-D-000XX Vendor Name (unless competed) 46 47 4. Requirements 48 4
words/batch-014/docx/UG.CAO.00133 Foreign Part 145 approvals - Language.docx	18/18	1	18	0.65	box	22	52	48	1	User Guide European Aviation Safety Agency Foreign Part 145 approvals –Documentary Languag
words/batch-015/docx/1_tpr_template__from_fy14_.docx	9/8	3	8	nan	page size	0	0	0	0	Table 1: Summary of Project Reporting Requirements All Priority Programmes respond to Part
words/batch-015/docx/approvals-and-standardisation-organisation-approvals-docs-part-145-annex-B-B11.-TE.CAO.00129-Foreign-Part-145-approvals---Experience--logbook.docx	6/6	1	6	0.64	size	50	30	8	0	Foreign Part 145 approvals- Maintenance Experience Logbook European Aviation Safety Agency
words/batch-015/doc/info-bulletin-601.doc	5/6	1	5	6.61	glyphs	99	22	32	4	Information Bulletin PT 601/03.19 Disability Standards for Accessible Public Transport 200
words/batch-016/doc/150_5300_13_chg8.doc	20/18	2	18	1.39	glyphs	48	185	254	42	10/1/02 AC 150/5300-13 CHG 7 Chapter 3. RUNWAY DESIGN 300. INTRODUCTION300. This chapter p
words/batch-015/docx/B11. TE.CAO.00129  Experience  logbook.docx	7/6	1	6	0.83	glyphs	46	17	16	2	Foreign Part-145 approvals- Maintenance Experience Logbook European Aviation Safety Agency
words/batch-016/doc/absrc-pac-01-info-note-en.doc	6/7	1	6	1.43	one-sided	0	113	116	2	CBD Distr. GENERAL 9 August 2026 ENGLISH ONLY ACCESS AND BENEFIT-SHARING REGIONAL CONSULTA
words/batch-016/docx/TE.CAO.00125 Foreign Part 145 approvals - OJT Logbook.docx	15/15	2	15	0.56	face	47	17	22	9	Foreign Part 145 approvals- On-the-Job Training logbook European Aviation Safety Agency AM
words/batch-017/docx/May 25 bulletin focus on carers in the workplace.docx	5/4	1	4	2.82	glyphs	32	6	15	2	May 2025 The Public Health Workplace Health Team work with local service providers to offe
words/batch-017/doc/762.doc	22/23	1	22	2.85	one-sided	0	0	10	4	DEVELOPMENT AND ENVIRONMENTAL SERVICES BULLETIN Development & Environmental Services Lime 
words/batch-017/docx/AWR OPS-AOC 044 Statement of Compliance RVSM  Rev 04 01 Feb 2024.docx	12/15	2	12	0.71	box	12	116	191	4	Statement of Compliance RVSM Form AWR OPS-AOC 044 Revision 04 Date 01 Feb 2024 C. Organisa
words/batch-017/docx/UG.CAO.00006 Foreign Part 145 approvals - User Guide for Applicants & Approval Holders.docx	30/29	1	29	0.68	box	5	51	48	1	User Guide European Aviation Safety Agency Foreign Part 145 approvals – Procedure for Appl
words/batch-018/doc/A_320.doc	141/150	3	141	2.69	one-sided	0	97	1	0	INTENTIONALLY LEFT BLANK
words/batch-018/docx/ESPN-R - MCF - Manual - Ed1.0 - For Publication.docx	34/35	3	34	0.48	box	0	10	24	17	MAINTENANCE CHECK FLIGHT MANUAL PAGE 3/35 REV. 0.0 MAINTENANCE CHECK FLIGHT MANUAL NOTE1: 
words/batch-018/docx/DOA_Template_Form_Type_Certification_Programme.docx	21/20	1	20	1.76	box	20	76	96	13	Doc.-No. Certification Programme Revision Date EASA.21J.ELA Project Reference Page 1 of 20
words/batch-018/docx/FRE-03_mcar_part-3_and_IS_v2.9.docx	77/76	14	76	0.91	glyphs	94	117	7	1	Partie 3 – Organismes de formation agréés TABLE DES MATIÈRES Partie 3 – Organismes de form
words/batch-019/docx/33004.docx	48/47	1	47	6.02	glyphs	2	3	13	1	SMS for Small Organizations SMS for Small Organizations March 2015 1|Page
words/batch-019/docx/02_mcar_part-2_and_IS_v2.10.docx	315/312	3	312	0.37	glyphs	1	4	9	1	Part 2 – Personnel Licensing AMENDMENTS The table of amendments begins with version 2.5 as
words/batch-019/docx/CRIF - SpÃ©cification technique - Socle applicatif.docx	33/27	2	27	0.57	one-sided	0	25	37	2	Espace Numérique de Travail Gestion des changements de version Ce tableau gère les modific
words/batch-019/docx/report-template.docx	19/20	4	19	0.69	glyphs	74	23	13	2	List of Figures Figure 1.1. Screenshot of how to assign levels to bookmarks in Acrobat usi
words/batch-019/docx/24-25_FAA_Holdover_Tables.docx	142/141	1	141	3.38	glyphs	78	65	60	4	FAA HOLDOVER TIME GUIDELINES WINTER 2024-2025 ORIGINAL ISSUE: AUGUST 6, 2024 The informati
words/batch-019/docx/SPA-02_mcar_part-2_and_IS_v2.9.docx	267/266	16	266	0.45	glyphs	44	74	76	8	Parte 2. Licencias al personal Lugar Fecha Descripción NE 2.2.3.1(b) (1) 11/201 4 Se modif
words/batch-020/doc/150_5300_13_chg12.doc	32/33	1	32	0.58	glyphs	56	66	93	17	Advisory Circular U.S. Department of Transportation Federal Aviation Administration Subjec
words/batch-020/docx/ABCD-WB-08-00 Weight and Balance Report - v1 08.03.16.docx	12/12	1	12	1.60	glyphs	27	85	115	3	WEIGHT AND BALANCE Company logo Document reference: WEIGHT AND BALANCE REPORT (Example doc
words/batch-020/doc/150_5300_13_chg10.doc	80/76	1	76	2.15	glyphs	16	526	99	16	Advisory Circular U.S. Department of Transportation Federal Aviation Administration Subjec
words/batch-020/docx/ABCD-FE-01-00 Flight Envelope - v1 08.03.16.docx	14/15	1	14	1.73	glyphs	24	86	115	3	FLIGHT ENVELOPE Company logo Document reference: FLIGHT ENVELOPE (Example document for LSA
words/batch-020/docx/EHEST-SMS-Safety-Management-Manual-V2.docx	80/82	7	80	3.32	size	7	110	113	0	Insert here Company Name and Logo Safety Management Manual Distribution and Control Copy H
