id	pages	first_page	ink	dominant	size	width	face	glyphs	shows	only_ours	only_ref
010605Vul__ppt	21	9	1.87	size	108	108	78	0	1	0	1
02_REDAC_New ATM briefing _March 2017v2__pptx	6	3	0.35	shows	0	0	7	7	19	10	2
0335fab9-79f0-4944-b92c-f223837ca2d8__ppt	12	3	1.54	shows	0	0	0	8	15	22	32
080214-Intl-pol-frameworks-and-their-implications-for-Africa-ISS-workshop__ppt	18	1	0.55	shows	0	0	0	3	5	0	1
1-secretariat__ppt	10	1	5.09	glyphs	0	0	0	1	1	3	7
10. Drawings, circuit diagrams and schematics__pptx	23	7	0.35	shows	0	0	0	11	15	0	2
111006 COMSTAC STOWG Aero spaceports IFG__pptx	8		0.00	none	0	0	0	0	0	0	0
1200-Assigning-Club-officers__pptx	16	10	0.43	shows	0	0	0	4	8	3	4
16 - UTM - (NASA)__pptx	37	1	0.81	shows	0	0	0	3	6	11	30
171128IPAP__pptx	40	24	1.87	size	106	0	0	7	27	564	565
1_Country-Updates_DRC_English__pptx	16	13	0.51	shows	7	0	0	0	20	52	36
2014BSA_Sunday_Killion__pptx	50	5	0.36	size	30	23	28	17	21	1	123
2015-Civil-Rights-Website-training__ppt	94	2	0.59	size	2	2	0	0	2	9	480
23-session-2-pptx__pptx	16	15	0.43	shows	0	0	0	0	3	2	4
30-04-2021 merged NDoH and NICD_Presentation HBV BD meeting 05May2021_1__pptx	18	9	0.40	shows	8	7	5	11	23	8	1
3492__pptx	22	3	3.66	shows	9	0	0	12	38	39	98
3495__pptx	26	5	0.77	shows	0	0	0	2	8	7	71
429_BLISc 2019 IInd Sem.  PAPER-7 UNIT 3__pptx	20	6	0.60	glyphs	2	2	1	8	7	31	31
5b_upasana_dasgupta_-_liability_and_registration__pptx	15		0.00	none	0	0	0	0	0	0	0
7-Zulkefli_Part147n66_IKMAS__pptx	18	1	1.33	shows	0	0	0	1	2	32	31
71393_pp7__ppt	39	8	1.52	size	60	0	0	2	26	1781	42
8.16_AOD_FINAL_Provider_Training_Presentation_9_2009__ppt	94	12	0.69	shows	4	0	0	3	5	12	13
8_P-Pavese_AIRBUS-ATB-journee-CRATB__pptx	26	3	0.50	shows	0	0	0	2	17	33	8
97936__pptx	15	4	2.51	shows	7	0	0	6	12	37	26
AATF-Fact-Sheet-2025__pptx	9	2	0.36	shows	0	0	3	13	52	196	197
ANG C-1 ATC-TO Core Program - HF REDAC briefing September 7 2016__pptx	19		0.00	none	0	0	0	0	0	0	0
Aerospace_Journey_of_Flight_Chapter_BCB1637572DA6__ppt	26	1	0.70	shows	0	0	0	3	6	2	6
Airport Planning 09112013__ppt	9		0.00	none	0	0	0	0	0	0	0
Architecture__ppt	29	5	0.35	glyphs	0	0	0	1	1	9	8
B2B-Center-Readiness-and-Student-Retention__pptx	33	14	0.57	shows	1	0	8	2	14	1	2
BHCA Part II webinar #2 - 10.2020__pptx	21	5	0.89	shows	2	2	0	8	10	0	1
BMFE-06-03 (Gerflor) Smoke Density and Toxicity__pptx	6	3	3.41	shows	71	0	0	37	105	473	485
BUS-Chapter 05__ppt	50	7	0.65	size	3	3	1	2	3	10	10
BasicMed_AME_Presentation__pptx	18		0.00	none	0	0	0	0	0	0	0
Boeing 737 Max - Group 5__pptx	2		0.00	none	0	0	0	0	0	0	0
COMSTAC_11_5_2021am_2__pptx	39	37	0.39	shows	1	0	3	9	22	0	1
Copy of Full deck with references Promotion of Outside Interests at Work final(1)__pptx	33	1	1.07	shows	1	0	0	0	6	4	7
