doc	pages	ink	ink_residual	ceiling_pages	major	major_on_ceiling
NAS-Infrastructure-Roadmaps-v16.0__pptx	137	224.77	72.63	24	66	24
Wildlife for REDAC September 11__pptx	41	54.89	54.78	1	6	0
Reporting_responsibilities_matrix__pptx	268	54.27	54.27	0	6	0
Thailand17__ppt	54	48.80	47.96	1	15	0
ITE106-Chapter 4__ppt	47	27.98	27.98	0	12	0
8.16_AOD_FINAL_Provider_Training_Presentation_9_2009__ppt	94	24.37	24.37	0	9	0
Framing Europe__ppt	24	24.30	24.30	0	9	0
2015-Civil-Rights-Website-training__ppt	94	23.26	23.26	0	10	0
ghgp-supply-chain-initiative_20100323_wri__pptx	52	20.34	20.34	0	7	0
ws_prod-g-doc-Events-2007-september-M.017-(French)-France__ppt	55	17.30	17.30	0	3	0
16 - UTM - (NASA)__pptx	37	20.54	17.22	2	5	1
2014BSA_Sunday_Killion__pptx	50	16.73	16.73	0	7	0
Demick_JetBlue__pptx	10	36.40	16.19	3	6	3
B2B-Center-Readiness-and-Student-Retention__pptx	33	15.94	15.94	0	3	0
8_P-Pavese_AIRBUS-ATB-journee-CRATB__pptx	26	15.06	15.01	1	5	0
undp_presentation_revised_17_may__ppt	22	14.84	14.84	0	6	0
pres_ioc_phuket__ppt	26	14.44	14.44	0	1	0
vvsummit2022-Research-Roadmap-and-the-UML-3-Operational-Integration-Assessment__pptx	33	14.23	14.23	0	2	0
Snowbirds_High_Show__pptx	41	13.68	13.68	0	0	0
171128IPAP__pptx	40	13.47	13.47	0	5	0
southern-classic-kennesaw-state-university-final__pptx	23	13.01	13.01	0	7	0
servicedesk-plus-overviewfinal__pptx	66	12.22	12.22	0	1	0
chapter_4_0__pptx	54	11.63	11.63	0	1	0
architecture6__ppt	31	10.84	10.84	0	5	0
Aerospace_Journey_of_Flight_Chapter_BCB1637572DA6__ppt	26	10.67	10.67	0	15	0
FAA_Form_337__ppt	67	10.41	10.41	0	9	0
NAS-Infrastructure-Roadmaps-Weather__pptx	11	13.13	9.61	1	5	1
flying-by-numbers-presentation__pptx	10	9.27	9.27	0	10	0
ws_prod-g-doc-Events-2008-February-5-NATO-activities__ppt	13	9.24	9.24	0	4	0
1-secretariat__ppt	10	8.94	8.94	0	3	0
Architecture__ppt	29	8.62	8.62	0	6	0
Technical_Report_Elements[1]__pptx	39	8.37	8.37	0	6	0
Sector_Skills_Insights_Advanced_Manufacturing_summary_slide_pack__pptx	24	8.25	8.25	0	3	0
order-of-worship-ppt-revised-2018__pptx	28	8.24	8.24	0	3	0
RRM-training-syllabus-Chapter-3-Teamwork-TC-Towing-Incident-Analysis-Dec-2009__ppt	27	8.18	8.18	0	1	0
JesuitAssocOfStudentPersonnel__ppt	31	8.07	8.07	0	2	0
pods05__ppt	60	8.02	8.02	0	3	0
Intersil_Italy_CAN_Bus_Transceiver_Presentation_Final__pptx	39	9.28	8.01	1	6	1
section_1_our_rights_presentation__pptx	30	7.99	7.99	0	2	0
gillikin_online_user_mtg_2010__ppt	40	7.94	7.94	0	4	0
