010605Vul__ppt: 12 of 21 pages differ on the dominant size
  page    3  ours  32.000 x13    ref  31.010 x12    ours LARGER  (+3.19%)
  page    6  ours  28.000 x7     ref  28.010 x7     ours smaller (-0.04%)
  page    7  ours  24.000 x7     ref  24.010 x7     ours smaller (-0.04%)
  page    9  ours   5.990 x106   ref  11.210 x106   ours smaller (-46.57%)
  page   10  ours   5.990 x85    ref  11.430 x85    ours smaller (-47.59%)
  page   11  ours  27.010 x10    ref  28.010 x6     ours smaller (-3.57%)
  page   13  ours  29.000 x10    ref  29.990 x10    ours smaller (-3.30%)
  page   15  ours  28.000 x13    ref  28.010 x13    ours smaller (-0.04%)
  page   16  ours  28.010 x13    ref  27.010 x8     ours LARGER  (+3.70%)
  page   17  ours  28.000 x10    ref  28.010 x10    ours smaller (-0.04%)
  page   18  ours  27.010 x12    ref  28.010 x7     ours smaller (-3.57%)
  page   19  ours  27.010 x12    ref  28.010 x7     ours smaller (-3.57%)
02_REDAC_New ATM briefing _March 2017v2__pptx: 1 of 6 pages differ on the dominant size
  page    1  ours  16.000 x3     ref  18.000 x2     ours smaller (-11.11%)
0335fab9-79f0-4944-b92c-f223837ca2d8__ppt: 8 of 12 pages differ on the dominant size
  page    1  ours  20.000 x4     ref  20.010 x4     ours smaller (-0.05%)
  page    2  ours  20.000 x17    ref  20.010 x17    ours smaller (-0.05%)
  page    4  ours  20.000 x10    ref  20.010 x10    ours smaller (-0.05%)
  page    7  ours  20.000 x10    ref  20.010 x14    ours smaller (-0.05%)
  page    8  ours  20.000 x9     ref  20.010 x9     ours smaller (-0.05%)
  page   10  ours  20.000 x18    ref  20.010 x18    ours smaller (-0.05%)
  page   11  ours  20.000 x14    ref  20.010 x14    ours smaller (-0.05%)
  page   12  ours  20.000 x15    ref  20.010 x15    ours smaller (-0.05%)
080214-Intl-pol-frameworks-and-their-implications-for-Africa-ISS-workshop__ppt: 16 of 18 pages differ on the dominant size
  page    2  ours  28.000 x11    ref  28.010 x11    ours smaller (-0.04%)
  page    3  ours  28.000 x9     ref  28.010 x9     ours smaller (-0.04%)
  page    4  ours  28.000 x11    ref  28.010 x11    ours smaller (-0.04%)
  page    5  ours  28.000 x9     ref  28.010 x9     ours smaller (-0.04%)
  page    6  ours  27.000 x21    ref  27.010 x21    ours smaller (-0.04%)
  page    7  ours  27.000 x14    ref  27.010 x14    ours smaller (-0.04%)
  page    9  ours  28.000 x10    ref  28.010 x10    ours smaller (-0.04%)
