00514292__xlsx	0.06	0.09	+0.03
114339-PROP-P127508-PUBLIC-PPCRNARCPPforPublication__xlsx	2.75	2.89	+0.14
2015-19 top 25 Arms producing companies data - to upload on website - FINAL_edit__xlsx	3.13	2.97	-0.16
2023-qhp-form-and-rate-combined-checklist-final__xlsx	22.40	9.73	-12.67
6f9e605c-fded-11e3-bd0e-00144feab7de__xls	0.33	0.33	+0.00
Air_Boss_Master_List__xlsx	2.38	2.36	-0.02
Aircraft_Database__xlsx	30.47	14.22	-16.25
Application_Compliance_Checklist_5_Apr_2021__xlsx	6.87	7.06	+0.19
Application_for_authorisation_as_crowdfunding_service_provider__xlsx	39.46	32.17	-7.29
CSA_CCM_v1.2__xls	14.78	14.78	+0.00
DOE-C2M2-V1.1-to-DOE-C2M2-V2.1 (1.1.0)__xlsx	10.40	10.50	+0.10
Data-Architecture-Tool-Fit-Assessment-Template__xlsx	9.11	9.15	+0.04
EHEST-Pre-departure-checklist-Rev.-1-06-12-2016__xls	23.11	16.87	-6.24
Global_Market_Forecast_2016-2035_Airbus_Data_Set__xlsx	3.99	4.02	+0.03
Hazard Analysis Template__xls	1.78	1.82	+0.04
MajCh-Digital-Certificate-Publication-Report__xlsx	2.35	2.28	-0.07
MinCh-Digital-Certificate-Publication-Report__xlsx	0.00	0.00	+0.00
NAARMO_Mexico_RVSM_Approvals__xlsx	2.47	2.50	+0.03
NPIAS_App_A__xls	19.36	19.79	+0.43
PA_Delaware__xls	36.89	36.89	+0.00
Performance__xlsx	0.77	0.76	-0.01
RCO_VOR_Master_List_082824__xlsx	3.00	3.01	+0.01
REDAC_SCHEDULE_RPD_135__xls	0.40	0.40	+0.00
RMP 2011-2014 and Inventory__xls	5.34	4.97	-0.37
RPA-Budgets-FY-17-19-20__xls	0.36	0.36	+0.00
RPD 155 REDAC SCHEDULE 2014-04-02__xls	0.80	0.80	+0.00
RegChangeReport__xlsx	5.95	6.38	+0.43
SIL_TDB605__xls	3.33	3.32	-0.01
SIL_TDB609__xls	3.97	3.96	-0.01
SLSA_Directory_031423__xlsx	2.20	0.63	-1.57
TICAPCapability_Final__xls	27.26	27.28	+0.02
TOGAF9-Tool-ConfReqts-CSQ__xls	19.42	18.56	-0.86
Template Pilot Logbook JAR-FCL V3.0__xls	10.05	5.79	-4.26
Travel-Cost-Estimate-Calculator__xlsx	0.08	0.08	+0.00
apron-area__xls	1.13	1.13	+0.00
arp-sop-300-Exhibit-A-Table-Templates__xlsx	3.57	1.89	-1.68
atspp_pay_tables__xlsx	94.90	73.10	-21.80
certification-type-certificates-docs-tcdns-databases-MAdB-Light-Prop-14-28112013__xlsx	7.88	7.45	-0.43
certification-type-certificates-docs-tcdns-databases-MAdB-Rotorcraft-14-28112013__xlsx	6.46	5.27	-1.19
environment-edb-docs-edb-emissions-databank__xls	74.30	74.32	+0.02
flightstandards-doc-Cross-reference-table_version02__xlsx	25.55	27.62	+2.07
fm-provider-service-measures__xlsx	26.12	25.25	-0.87
fse_identification_form__xlsx	0.31	0.32	+0.01
fy2010-aip-grants__xls	7.43	7.42	-0.01
fy2011-aip-grants__xls	3.67	3.67	+0.00
oltl-bulletin-59-26-03-ptr-sc-registration-form-for-oltl-approved-software__xlsx	0.46	0.46	+0.00
redac-sas-201503-fy17-research-portfolio__xlsx	1.01	0.44	-0.57
register-changes-in-may-2024---adujsted__xlsx	2.97	2.87	-0.10
sistem-rekod-markah-srm-_-rekod-master__xlsx	2.73	2.73	+0.00
template-ECSPR-notifications__xlsx	10.39	11.48	+1.09
