path	verdict	pages	first_page	of	ink	dominant	gdelta	only_ours	only_ref	blank_ref	counts
words/batch-006/docx/healthcare-reform-nsa-provider-bulletin.docx	match	5/5	1	5	0.50	glyphs	89	103	9	8	glyphs=30
words/batch-006/docx/technical-memo-format.docx	match	5/5		5	0.00		0	0	0	0	
words/batch-007/doc/RNW167A-150428.doc	match	9/9	7	9	0.60	glyphs	1	57	41	0	box=5,glyphs=11
words/batch-007/doc/Wales_Office_Quarter_4_Ministerial_Transparency_Return.DOC	match	6/6	3	6	3.46	glyphs	62	56	94	6	box=7,face=1,glyphs=36
words/batch-007/doc/chapter 12.doc	match	12/12		12	0.00		0	0	0	0	
words/batch-007/doc/congregationalhistories_ky_2023.doc	match	1/1		1	0.00		0	0	0	0	
words/batch-007/docx/0c662f5c948a7d81d32ffd833c5cc59421a5f522.docx	match	1/1		1	0.00		0	0	0	0	
words/batch-007/docx/Press release_EUREKA labels ITEA 3 Cluster.docx	match	2/2		2	0.00		0	0	0	0	
words/batch-007/docx/final-technical-report-template.docx	match	6/6		6	0.00		0	0	0	0	
words/batch-007/docx/johnson_hall_service_log.pdf.docx	match	1/1		1	0.00		0	0	0	0	
words/batch-007/docx/technical-report-template.docx	match	7/7		7	0.00		0	0	0	0	
words/batch-007/docx/template-technical-report.docx	match	10/10	2	10	1.31	one-sided	0	43	45	2	
words/batch-008/doc/1245685 1 Comment.doc	match	1/1		1	0.00		0	0	0	0	
words/batch-008/doc/2024-2nd-quarter-case-summaries.doc	match	10/10	10	10	1.30	glyphs	52	15	25	5	size=1,face=15,glyphs=18
words/batch-008/doc/FlightLaws.doc	match	4/4	1	4	1.13	one-sided	0	72	208	13	
words/batch-008/doc/PUR-0012-UTAS-GRAMS-SPA-Template-1-25-2024.doc	match	6/6		6	0.00		0	0	0	0	
words/batch-008/docx/09.docx	match	2/2		2	0.00		0	0	0	0	
words/batch-008/docx/4400-91_Proposal_To_Lease_Space_10-2024.docx	match	6/6		6	0.00		0	0	0	0	
words/batch-008/docx/ECSS-E-ST-50-16C-Annex-A(30September2021).docx	match	4/4	1	4	0.40	face	44	69	100	6	face=13,glyphs=7
words/batch-008/docx/FAA-2017-0628-0002_attachment_1.docx	words	4/4	1	4	0.96	glyphs	1	8	13	2	glyphs=1
words/batch-008/docx/UAS-SGI_waiver_approval_request_form.docx	match	2/2		2	0.00		0	0	0	0	
words/batch-008/docx/draft-variation-notice-airbus-bm3965ia-v006-vs-comments.docx	match	9/9	2	9	2.48	glyphs	4	115	69	18	glyphs=2
words/batch-009/doc/2013-op12-Annex III - Curriculum Vitae.doc	match	3/3		3	0.00		0	0	0	0	
words/batch-009/doc/237287_0486190101_0486190101_geolink2neu.doc	match	8/8	1	8	0.52	glyphs	75	69	68	5	face=2,glyphs=29
