กระหน่ำ กระหนํ่า
กล้ำ กลํ้า
กะหล่ำ กะหลํ่า
กำ กํา
ก่ำ กํ่า
ขย้ำ ขยํ้า
คล้ำ คลํ้า
คว่ำ ควํ่า
คำ คํา
ค่ำ คํ่า
ค้ำ คํ้า
จำ จํา
จ้ำ จํ้า
จ้ำม่ำ จํ้ามํ่า
ฉ่ำ ฉํ่า
ช้ำ ชํ้า
ซ้ำ ซํ้า
ดำ ดํา
ด้ำ ดํ้า
ตำ ตํา
ต่ำ ตํ่า
ถ้ำ ถํ้า
น้ำ นํ้า
น้ำคร่ำ นํ้าครํ่า
บ๋ำ บํ๋า
ปล้ำ ปลํ้า
พร่ำ พรํ่า
ยำ ยํา
ย่ำ ยํ่า
ย้ำ ยํ้า
รำ รํา
ร่ำ รํ่า
ลำ ลํา
ล้ำ ลํ้า
ล่ำลา ลํ่าลา
สม่ำเสมอ สมํ่าเสมอ
หม้ำ หมํ้า
