stated_pt	reference_drawn_pt	delta_pt	drawn/stated
7	6.987	-0.013	0.998143
10	9.889	-0.111	0.988900
14	13.889	-0.111	0.992071
18	17.890	-0.110	0.993889
30	29.807	-0.193	0.993567
40	39.808	-0.192	0.995200
