Airplanes-MTOW__xls	0	0	65	0	0	0	glyphs:65 
REDAC_SCHEDULE_RPD_135__xls	1	1	8	0	0	0	glyphs:8 
RPD 155 REDAC SCHEDULE 2014-04-02__xls	1	1	48	0	48	0	size:48 
16424782563923__xlsx	0	0	0	0	0	0	
ExampleWhiteListData__xlsx	0	0	3	0	0	3	shows:3 
FMMO_NMPF_37C__xlsx	0	0	13	0	0	13	shows:13 
Geo_Abschlussarbeiten__xlsx	0	0	4	0	0	4	shows:4 
Patent Index 2024 - Top 100 applicants 2024__xlsx	0	0	406	0	406	0	size:406 
einvoice-summary-worksheet__xlsx	0	1	10	0	0	9	shows:9 glyphs:1 
oltl-bulletin-59-26-03-ptr-sc-registration-form-for-oltl-approved-software__xlsx	0	0	4	0	0	4	shows:4 
2012-GA-Survey-Chapter-5-Tables-16Dec2013-V2__xls	14	27	13	0	1	12	shows:12 size:1 
2012-GA-Survey-Chapter-6-Tables-16Dec2013-V2__xls	14	30	12	0	8	4	size:8 shows:4 
P1636e__xls	0	0	0	0	0	0	
REDAC_SCHEDULE_RPD_137__xls	2	2	287	0	271	0	size:271 glyphs:16 
(5000021142)-(subc0226)-criminology-subject-collection-list__xlsx	0	0	0	0	0	0	
AIRBUS_station_evaluation_checklist_v2__xlsx	0	0	66	0	1	65	shows:65 size:1 
Upload__hvv_Linie_150_2023__xlsx	0	0	0	0	0	0	
Chicago.List.2025__xlsx	0	15	665	0	665	0	size:665 
e-pass-contact-details-template__xlsx	0	0	0	0	0	0	
WEBSITE-RESOURCE-LIST-by-CATEGORY-4-6-18-341pm__xlsx	0	0	328	0	328	0	size:328 
NPA_21_21_Sentenced_Comments__xls	39	51	140	0	89	33	size:89 shows:33 glyphs:18 
4-12-Kings-Attachment-13-Application-Architecture-Security-Requirements__xls	13	27	231	0	0	197	shows:197 glyphs:34 
RPA-Budgets-FY-17-19-20__xls	0	0	40	0	0	0	glyphs:40 
disclosures_ecm__xls	108	109	278	11	12	0	glyphs:263 size:12 face:3 
programs contact list as of 07-01-10__xls	667	850	3	0	3	0	size:3 
00514292__xlsx	47	52	57	0	0	50	shows:50 glyphs:7 
Air_Boss_Master_List__xlsx	6	4	0	0	0	0	
Bulletin-37-Appendix-2-immediate-detriment-data-request__xlsx	0	0	3	0	0	3	shows:3 
VOR Candidate Discontinuance List 2026-01-08__xlsx	0	0	0	0	0	0	
redac-sas-201503-fy17-research-portfolio__xlsx	254	275	55	6	55	0	size:55 
NorwegianXPensionXFundXanalysisXexportsXandXLAWS-1__xls	0	0	32	0	0	30	shows:30 glyphs:2 
flying-log-passenger-23rd-september-2014__xls	0	0	2509	0	2509	0	size:2509 
permit-applications-determined-july-2015__xls	0	0	0	0	0	0	
EU_145s_with_TCCA_approval_-_31.01.2025__xlsx	273	273	410	0	0	1	glyphs:409 shows:1 
Estero Rotary Awards__xlsx	0	0	8	0	0	8	shows:8 
List-of-Members-August-2017__xlsx	0	0	18	0	0	17	shows:17 glyphs:1 
Foreign_SA-CAT-I_and_CAT-II-III_Pub_0__xlsx	0	60	30	0	0	6	glyphs:24 shows:6 
Part_375_Operators__xlsx	8	8	18	12	0	6	face:12 shows:6 
Travel-Cost-Estimate-Calculator__xlsx	0	0	24	0	0	22	shows:22 glyphs:2 
UAE Type Accepted Aircraft Models__xlsx	0	0	16	0	0	16	shows:16 
Background_Declaration_Template__xls	0	1	26	1	3	22	shows:22 size:3 glyphs:1 
Praktikastellen_-_chinesischsprachiger_Kulturraum__xls	0	2	296	0	0	294	shows:294 glyphs:2 
SectorAdvisoryGroupandStrategyBoards__xls	0	6	1058	0	1058	0	size:1058 
cy10_primary_enplanements__xls	36	40	159	0	0	142	shows:142 glyphs:17 
apron-area__xls	14	29	21	4	7	11	shows:11 size:7 face:3 
Part_129_Operators__xlsx	4	2	12	12	0	0	face:12 
National-Reports__xlsx	0	0	33	0	0	33	shows:33 
esurf-12-135-2024-t01__xlsx	0	0	22	0	0	22	shows:22 
arp-sop-300-Exhibit-A-Table-Templates__xlsx	31	27	496	2	8	478	shows:478 glyphs:12 size:4 face:2 
Hazard Analysis Template__xls	77	85	43	0	1	21	shows:21 glyphs:21 size:1 
fse_identification_form__xlsx	5	1	31	0	14	17	shows:17 size:14 
ZenithAviation_AuctionList__xls	0	0	0	0	0	0	
WG7_NCWF_Skills_Table__xls	0	0	152	0	0	146	shows:146 glyphs:6 
2020-01-29-Lease-Transition-Records-Checklist-FINAL-1__xlsx	4	4	543	0	543	0	size:543 
2017-04-27-Lease-Transition-Records-Checklist-FINAL-1__xlsx	4	4	543	0	543	0	size:543 
Published_Issuances_2024__xlsx	1	3	166	0	164	2	size:164 shows:2 
Infotabelle_WLAN im Flugzeug__xlsx	21	23	97	0	0	97	shows:97 
june_2025_published__xlsx	0	0	6686	0	6686	0	size:6686 
SSRO_Quarterly_Statistical_Bulletin_Q3201617_DATA__xlsx	6	14	48	3	2	23	shows:23 glyphs:20 face:3 size:2 
CSA_CCM_v1.2__xls	4287	4357	1823	8	0	664	glyphs:1151 shows:664 face:8 
register-changes-in-may-2024---adujsted__xlsx	0	0	20	0	0	20	shows:20 
AFS-400_Contacts__xlsx	159	169	678	28	0	498	shows:498 glyphs:172 face:8 
