"#No lap";"time";"total time";"lap time";"IM";"IM lap";"DM";"DM lap";"TMU";"TMU lap";"SC";"SC lap";"note";"Arithmetic mean";"Median";"Minimum value";"Maximum value";"Standard deviation"
"1";"2023-10-24 14:05:15";"00:11.260";"00:11.260";"0.312778";"0.312778";"0.183333";"0.183333";"312.777771";"312.777771";"11";"11";"";"00:11.260";"00:11.260";"00:11.260";"00:11.260";"null"
"2";"2023-10-24 14:05:37";"00:20.427";"00:09.167";"0.567417";"0.254639";"0.333333";"0.150000";"567.416687";"254.638885";"20";"9";"";"00:10.213";"00:10.213";"00:09.167";"00:11.260";"00:01.479"
"3";"2023-10-24 14:05:48";"00:31.154";"00:10.727";"0.865389";"0.297972";"0.516667";"0.166667";"865.388916";"297.972229";"31";"10";"";"00:10.384";"00:10.727";"00:09.167";"00:11.260";"00:01.087"
