words/batch-001/doc/LENTOBUSSIAIKATAULU.-31.10.-31.12.2022.doc	match	1/1	44.97	45.02	-0.05	633.24	633.48	-0.24	-0.19
words/batch-001/doc/GLACIERBG.ETT.doc	match	1/1	48.16	48.16	+0.00	757.69	757.69	+0.00	+0.00
words/batch-001/doc/FAA-2013-0422-0009_attachment_1.doc	match	7/7	72.51	72.51	+0.00	706.79	706.79	+0.00	+0.00
words/batch-001/docx/CMTA_Airport_Transportation.docx	match	1/1	72.51	72.51	+0.00	590.69	589.54	+1.15	+1.15
words/batch-001/doc/advert-for-draft-decision-airbus-epr-bm3965ia-v006.doc	match	2/2	72.34	72.35	-0.00	806.52	806.51	+0.01	+0.01
words/batch-001/doc/foca_form_1.doc	match	3/3	28.65	28.65	-0.00	571.02	570.97	+0.06	+0.06
words/batch-001/docx/Service-Bulletin-SDFNR5-April-25-2023-FNR-TRANSMISSION-LUBRICATION.docx	match	1/1	36.39	36.39	+0.00	741.09	741.08	+0.01	+0.01
words/batch-001/docx/Pre-Application_Letter_of_Intent_Example.docx	match	1/1	22.00	22.00	+0.00	689.13	689.02	+0.11	+0.11
words/batch-001/docx/Sample_PAO-PSO_91-113_Letter.docx	match	1/1	17.98	18.03	-0.05	713.04	713.08	-0.04	+0.01
words/batch-002/doc/FMRBullletinB-28.doc	match	2/2	72.51	72.51	+0.00	756.04	756.04	+0.00	+0.00
words/batch-002/doc/Bull01-06-Reserve Training Standards.doc	match	6/6	72.51	72.51	+0.00	706.79	706.79	+0.00	+0.00
words/batch-001/docx/private-hire-operators-licensed.docx	match	2/2	72.75	72.78	-0.03	767.68	767.70	-0.01	+0.01
words/batch-002/docx/CSCRS_Technical-Report-Documentation-Page-with-instructions.docx	match	2/2	36.51	36.51	+0.00	710.84	713.66	-2.82	-2.82
words/batch-002/docx/AUWG min 4-3-24 final.docx	match	2/2	35.98	36.03	-0.05	755.99	756.03	-0.04	+0.01
