# Shortcodes for the emoji and symbol AutoCorrect replacements.
#
# Typing a shortcode between colons - :rocket: - replaces it with the character
# as soon as the closing colon is typed.  The names are the international
# GitHub/Slack shortcodes, so they are the same in every language and this file
# is deliberately NOT translated.  See README.md before editing.
#
# codepoints <TAB> character <TAB> shortcodes, first one canonical <TAB> Unicode name
000A2	¢	cent	CENT SIGN
000A3	£	pound	POUND SIGN
000A5	¥	yen	YEN SIGN
000A7	§	section	SECTION SIGN
000A9	©	copyright	COPYRIGHT SIGN
000AC	¬	not	NOT SIGN
000AE	®	registered	REGISTERED SIGN
000B0	°	degree	DEGREE SIGN
000B1	±	+-	PLUS-MINUS SIGN
000B2	²	^2	SUPERSCRIPT TWO
000B3	³	^3	SUPERSCRIPT THREE
000B7	·	middle dot	MIDDLE DOT
000B9	¹	^1	SUPERSCRIPT ONE
000BC	¼	1/4	VULGAR FRACTION ONE QUARTER
000BD	½	1/2	VULGAR FRACTION ONE HALF
000BE	¾	3/4	VULGAR FRACTION THREE QUARTERS
002B0	ʰ	^h	MODIFIER LETTER SMALL H
002B2	ʲ	^j	MODIFIER LETTER SMALL J
002B3	ʳ	^r	MODIFIER LETTER SMALL R
002B7	ʷ	^w	MODIFIER LETTER SMALL W
002B8	ʸ	^y	MODIFIER LETTER SMALL Y
002E1	ˡ	^l	MODIFIER LETTER SMALL L
002E2	ˢ	^s	MODIFIER LETTER SMALL S
002E3	ˣ	^x	MODIFIER LETTER SMALL X
00391	Α	Alpha	GREEK CAPITAL LETTER ALPHA
00392	Β	Beta	GREEK CAPITAL LETTER BETA
00393	Γ	Gamma	GREEK CAPITAL LETTER GAMMA
00394	Δ	Delta	GREEK CAPITAL LETTER DELTA
00395	Ε	Epsilon	GREEK CAPITAL LETTER EPSILON
00396	Ζ	Zeta	GREEK CAPITAL LETTER ZETA
00397	Η	Eta	GREEK CAPITAL LETTER ETA
00398	Θ	Theta	GREEK CAPITAL LETTER THETA
00399	Ι	Iota	GREEK CAPITAL LETTER IOTA
0039A	Κ	Kappa	GREEK CAPITAL LETTER KAPPA
0039B	Λ	Lambda	GREEK CAPITAL LETTER LAMDA
0039C	Μ	Mu	GREEK CAPITAL LETTER MU
0039D	Ν	Nu	GREEK CAPITAL LETTER NU
0039E	Ξ	Xi	GREEK CAPITAL LETTER XI
0039F	Ο	Omicron	GREEK CAPITAL LETTER OMICRON
003A0	Π	Pi	GREEK CAPITAL LETTER PI
003A1	Ρ	Rho	GREEK CAPITAL LETTER RHO
003A3	Σ	Sigma	GREEK CAPITAL LETTER SIGMA
003A4	Τ	Tau	GREEK CAPITAL LETTER TAU
003A5	Υ	Upsilon	GREEK CAPITAL LETTER UPSILON
003A6	Φ	Phi	GREEK CAPITAL LETTER PHI
003A7	Χ	Chi	GREEK CAPITAL LETTER CHI
003A8	Ψ	Psi	GREEK CAPITAL LETTER PSI
003A9	Ω	Omega	GREEK CAPITAL LETTER OMEGA
003B1	α	alpha	GREEK SMALL LETTER ALPHA
003B2	β	beta	GREEK SMALL LETTER BETA
003B3	γ	gamma	GREEK SMALL LETTER GAMMA
003B4	δ	delta	GREEK SMALL LETTER DELTA
003B5	ε	epsilon	GREEK SMALL LETTER EPSILON
003B6	ζ	zeta	GREEK SMALL LETTER ZETA
003B7	η	eta	GREEK SMALL LETTER ETA
003B8	θ	theta	GREEK SMALL LETTER THETA
003B9	ι	iota	GREEK SMALL LETTER IOTA
003BA	κ	kappa	GREEK SMALL LETTER KAPPA
003BB	λ	lambda	GREEK SMALL LETTER LAMDA
003BC	μ	mu	GREEK SMALL LETTER MU
003BD	ν	nu	GREEK SMALL LETTER NU
003BE	ξ	xi	GREEK SMALL LETTER XI
003BF	ο	omicron	GREEK SMALL LETTER OMICRON
003C0	π	pi	GREEK SMALL LETTER PI
003C1	ρ	rho	GREEK SMALL LETTER RHO
003C2	ς	sigma2	GREEK SMALL LETTER FINAL SIGMA
003C3	σ	sigma	GREEK SMALL LETTER SIGMA
003C4	τ	tau	GREEK SMALL LETTER TAU
003C5	υ	upsilon	GREEK SMALL LETTER UPSILON
003C6	φ	phi	GREEK SMALL LETTER PHI
003C7	χ	chi	GREEK SMALL LETTER CHI
003C8	ψ	psi	GREEK SMALL LETTER PSI
003C9	ω	omega	GREEK SMALL LETTER OMEGA
00E3F	฿	baht	THAI CURRENCY SYMBOL BAHT
01D2C	ᴬ	^A	MODIFIER LETTER CAPITAL A
01D2E	ᴮ	^B	MODIFIER LETTER CAPITAL B
01D30	ᴰ	^D	MODIFIER LETTER CAPITAL D
01D31	ᴱ	^E	MODIFIER LETTER CAPITAL E
01D33	ᴳ	^G	MODIFIER LETTER CAPITAL G
01D34	ᴴ	^H	MODIFIER LETTER CAPITAL H
01D35	ᴵ	^I	MODIFIER LETTER CAPITAL I
01D36	ᴶ	^J	MODIFIER LETTER CAPITAL J
01D37	ᴷ	^K	MODIFIER LETTER CAPITAL K
01D38	ᴸ	^L	MODIFIER LETTER CAPITAL L
01D39	ᴹ	^M	MODIFIER LETTER CAPITAL M
01D3A	ᴺ	^N	MODIFIER LETTER CAPITAL N
01D3C	ᴼ	^O	MODIFIER LETTER CAPITAL O
01D3E	ᴾ	^P	MODIFIER LETTER CAPITAL P
01D3F	ᴿ	^R	MODIFIER LETTER CAPITAL R
01D40	ᵀ	^T	MODIFIER LETTER CAPITAL T
01D41	ᵁ	^U	MODIFIER LETTER CAPITAL U
01D42	ᵂ	^W	MODIFIER LETTER CAPITAL W
01D43	ᵃ	^a	MODIFIER LETTER SMALL A
01D45	ᵅ	^alpha	MODIFIER LETTER SMALL ALPHA
01D47	ᵇ	^b	MODIFIER LETTER SMALL B
01D48	ᵈ	^d	MODIFIER LETTER SMALL D
01D49	ᵉ	^e	MODIFIER LETTER SMALL E
01D4B	ᵋ	^epsilon	MODIFIER LETTER SMALL OPEN E
01D4D	ᵍ	^g	MODIFIER LETTER SMALL G
01D4F	ᵏ	^k	MODIFIER LETTER SMALL K
01D50	ᵐ	^m	MODIFIER LETTER SMALL M
01D52	ᵒ	^o	MODIFIER LETTER SMALL O
01D56	ᵖ	^p	MODIFIER LETTER SMALL P
01D57	ᵗ	^t	MODIFIER LETTER SMALL T
01D58	ᵘ	^u	MODIFIER LETTER SMALL U
01D5B	ᵛ	^v	MODIFIER LETTER SMALL V
01D5D	ᵝ	^beta	MODIFIER LETTER SMALL BETA
01D5E	ᵞ	^gamma	MODIFIER LETTER SMALL GREEK GAMMA
01D5F	ᵟ	^delta	MODIFIER LETTER SMALL DELTA
01D60	ᵠ	^phi	MODIFIER LETTER SMALL GREEK PHI
01D61	ᵡ	^chi	MODIFIER LETTER SMALL CHI
01D62	ᵢ	_i	LATIN SUBSCRIPT SMALL LETTER I
01D63	ᵣ	_r	LATIN SUBSCRIPT SMALL LETTER R
01D64	ᵤ	_u	LATIN SUBSCRIPT SMALL LETTER U
01D65	ᵥ	_v	LATIN SUBSCRIPT SMALL LETTER V
01D66	ᵦ	_beta	GREEK SUBSCRIPT SMALL LETTER BETA
01D67	ᵧ	_gamma	GREEK SUBSCRIPT SMALL LETTER GAMMA
01D68	ᵨ	_rho	GREEK SUBSCRIPT SMALL LETTER RHO
01D69	ᵩ	_phi	GREEK SUBSCRIPT SMALL LETTER PHI
01D6A	ᵪ	_chi	GREEK SUBSCRIPT SMALL LETTER CHI
01D9C	ᶜ	^c	MODIFIER LETTER SMALL C
01DA0	ᶠ	^f	MODIFIER LETTER SMALL F
01DA5	ᶥ	^iota	MODIFIER LETTER SMALL IOTA
01DB2	ᶲ	^Phi	MODIFIER LETTER SMALL PHI
01DBB	ᶻ	^z	MODIFIER LETTER SMALL Z
01DBF	ᶿ	^theta	MODIFIER LETTER SMALL THETA
02013	–	--	EN DASH
02014	—	---	EM DASH
02019	’	'	RIGHT SINGLE QUOTATION MARK
02020	†	dagger	DAGGER
02021	‡	dagger2	DOUBLE DAGGER
02022	•	bullet	BULLET
02023	‣	bullet2	TRIANGULAR BULLET
02026	…	.	HORIZONTAL ELLIPSIS
02030	‰	per mille	PER MILLE SIGN
02031	‱	basis point	PER TEN THOUSAND SIGN
02032	′	prime	PRIME
02033	″	inch	DOUBLE PRIME
0203C	‼	bangbang, !!	DOUBLE EXCLAMATION MARK
02049	⁉	interrobang, !?	EXCLAMATION QUESTION MARK
02070	⁰	^0	SUPERSCRIPT ZERO
02071	ⁱ	^i	SUPERSCRIPT LATIN SMALL LETTER I
02074	⁴	^4	SUPERSCRIPT FOUR
02075	⁵	^5	SUPERSCRIPT FIVE
02076	⁶	^6	SUPERSCRIPT SIX
02077	⁷	^7	SUPERSCRIPT SEVEN
02078	⁸	^8	SUPERSCRIPT EIGHT
02079	⁹	^9	SUPERSCRIPT NINE
0207A	⁺	^+	SUPERSCRIPT PLUS SIGN
0207B	⁻	^-	SUPERSCRIPT MINUS
0207C	⁼	^=	SUPERSCRIPT EQUALS SIGN
0207D	⁽	^(	SUPERSCRIPT LEFT PARENTHESIS
0207E	⁾	^)	SUPERSCRIPT RIGHT PARENTHESIS
0207F	ⁿ	^n	SUPERSCRIPT LATIN SMALL LETTER N
02080	₀	_0	SUBSCRIPT ZERO
02081	₁	_1	SUBSCRIPT ONE
02082	₂	_2	SUBSCRIPT TWO
02083	₃	_3	SUBSCRIPT THREE
02084	₄	_4	SUBSCRIPT FOUR
02085	₅	_5	SUBSCRIPT FIVE
02086	₆	_6	SUBSCRIPT SIX
02087	₇	_7	SUBSCRIPT SEVEN
02088	₈	_8	SUBSCRIPT EIGHT
02089	₉	_9	SUBSCRIPT NINE
0208A	₊	_+	SUBSCRIPT PLUS SIGN
0208B	₋	_-	SUBSCRIPT MINUS
0208C	₌	_=	SUBSCRIPT EQUALS SIGN
0208D	₍	_(	SUBSCRIPT LEFT PARENTHESIS
0208E	₎	_)	SUBSCRIPT RIGHT PARENTHESIS
02090	ₐ	_a	LATIN SUBSCRIPT SMALL LETTER A
02091	ₑ	_e	LATIN SUBSCRIPT SMALL LETTER E
02092	ₒ	_o	LATIN SUBSCRIPT SMALL LETTER O
02093	ₓ	_x	LATIN SUBSCRIPT SMALL LETTER X
02095	ₕ	_h	LATIN SUBSCRIPT SMALL LETTER H
02096	ₖ	_k	LATIN SUBSCRIPT SMALL LETTER K
02097	ₗ	_l	LATIN SUBSCRIPT SMALL LETTER L
02098	ₘ	_m	LATIN SUBSCRIPT SMALL LETTER M
02099	ₙ	_n	LATIN SUBSCRIPT SMALL LETTER N
0209A	ₚ	_p	LATIN SUBSCRIPT SMALL LETTER P
0209B	ₛ	_s	LATIN SUBSCRIPT SMALL LETTER S
0209C	ₜ	_t	LATIN SUBSCRIPT SMALL LETTER T
020A4	₤	lira	LIRA SIGN
020A9	₩	won	WON SIGN
020AA	₪	shekel	NEW SHEQEL SIGN
020AC	€	euro	EURO SIGN
020B1	₱	peso	PESO SIGN
020B4	₴	hryvnia	HRYVNIA SIGN
020B9	₹	rupee	INDIAN RUPEE SIGN
020BA	₺	Turkish lira	TURKISH LIRA SIGN
20BF	₿	bitcoin	BITCOIN SIGN
02122	™	tm	TRADE MARK SIGN
02139	ℹ	information	INFORMATION SOURCE
02153	⅓	1/3	VULGAR FRACTION ONE THIRD
02154	⅔	2/3	VULGAR FRACTION TWO THIRDS
0215B	⅛	1/8	VULGAR FRACTION ONE EIGHTH
0215C	⅜	3/8	VULGAR FRACTION THREE EIGHTHS
0215D	⅝	5/8	VULGAR FRACTION FIVE EIGHTHS
0215E	⅞	7/8	VULGAR FRACTION SEVEN EIGHTHS
02190	←	W	LEFTWARDS ARROW
02191	↑	N	UPWARDS ARROW
02192	→	E	RIGHTWARDS ARROW
02193	↓	S	DOWNWARDS ARROW
02194	↔	left_right_arrow, EW	LEFT RIGHT ARROW
02195	↕	NS	UP DOWN ARROW
02196	↖	NW	NORTH WEST ARROW
02197	↗	arrow_upper_right, NE	NORTH EAST ARROW
02198	↘	arrow_lower_right, SE	SOUTH EAST ARROW
02199	↙	SW	SOUTH WEST ARROW
21A9	↩	leftwards_arrow_with_hook	LEFTWARDS ARROW WITH HOOK
21AA	↪	arrow_right_hook	RIGHTWARDS ARROW WITH HOOK
021D0	⇐	W2	LEFTWARDS DOUBLE ARROW
021D1	⇑	N2	UPWARDS DOUBLE ARROW
021D2	⇒	E2	RIGHTWARDS DOUBLE ARROW
021D3	⇓	S2	DOWNWARDS DOUBLE ARROW
021D4	⇔	EW2	LEFT RIGHT DOUBLE ARROW
021D5	⇕	NS2	UP DOWN DOUBLE ARROW
021D6	⇖	NW2	NORTH WEST DOUBLE ARROW
021D7	⇗	NE2	NORTH EAST DOUBLE ARROW
021D8	⇘	SE2	SOUTH EAST DOUBLE ARROW
021D9	⇙	SW2	SOUTH WEST DOUBLE ARROW
02200	∀	for all	FOR ALL
02202	∂	partial	PARTIAL DIFFERENTIAL
02203	∃	exists	THERE EXISTS
02204	∄	not exists	THERE DOES NOT EXIST
02205	∅	empty set	EMPTY SET
02208	∈	in	ELEMENT OF
02209	∉	not in	NOT AN ELEMENT OF
0220A	∊	small in	SMALL ELEMENT OF
0220B	∋	ni	CONTAINS AS MEMBER
0220C	∌	not ni	DOES NOT CONTAIN AS MEMBER
0220D	∍	small ni	SMALL CONTAINS AS MEMBER
0220E	∎	end of proof	END OF PROOF
0220F	∏	product	N-ARY PRODUCT
02211	∑	sum	N-ARY SUMMATION
02212	−	-	MINUS SIGN
02213	∓	-+	MINUS-OR-PLUS SIGN
02215	∕	/	DIVISION SLASH
02216	∖	\	SET MINUS
0221A	√	sqrt	SQUARE ROOT
0221B	∛	cube root	CUBE ROOT
0221C	∜	fourth root	FOURTH ROOT
0221E	∞	infinity	INFINITY
02220	∠	angle	ANGLE
02221	∡	angle2	MEASURED ANGLE
02223	∣	divides	DIVIDES
02224	∤	not divides	DOES NOT DIVIDE
02225	∥	parallel	PARALLEL TO
02226	∦	nparallel	NOT PARALLEL TO
02227	∧	and	LOGICAL AND
02228	∨	or	LOGICAL OR
02229	∩	intersection	INTERSECTION
0222A	∪	union	UNION
0222B	∫	integral	INTEGRAL
0222C	∬	integral2	DOUBLE INTEGRAL
0222D	∭	integral3	TRIPLE INTEGRAL
0222E	∮	integral4	CONTOUR INTEGRAL
02230	∰	integral5	VOLUME INTEGRAL
02248	≈	~	ALMOST EQUAL TO
02260	≠	not equal	NOT EQUAL TO
02264	≤	<=	LESS-THAN OR EQUAL TO
02265	≥	>=	GREATER-THAN OR EQUAL TO
0226A	≪	<<	MUCH LESS-THAN
0226B	≫	>>	MUCH GREATER-THAN
02282	⊂	subset	SUBSET OF
02283	⊃	superset	SUPERSET OF
02284	⊄	not subset	NOT A SUBSET OF
02285	⊅	not superset	NOT A SUPERSET OF
022BF	⊿	right triangle	RIGHT TRIANGLE
0231A	⌚	watch	WATCH
0231B	⌛	hourglass	HOURGLASS
02328	⌨	keyboard	KEYBOARD
23CF	⏏	eject_button	EJECT SYMBOL
023E2	⏢	trapezium	WHITE TRAPEZIUM
23E9	⏩	fast_forward	BLACK RIGHT-POINTING DOUBLE TRIANGLE
23EA	⏪	rewind	BLACK LEFT-POINTING DOUBLE TRIANGLE
23EB	⏫	arrow_double_up	BLACK UP-POINTING DOUBLE TRIANGLE
23EC	⏬	arrow_double_down	BLACK DOWN-POINTING DOUBLE TRIANGLE
23ED	⏭	next_track_button	BLACK RIGHT-POINTING DOUBLE TRIANGLE WITH VERTICAL BAR
23EE	⏮	previous_track_button	BLACK LEFT-POINTING DOUBLE TRIANGLE WITH VERTICAL BAR
23EF	⏯	play_or_pause_button	BLACK RIGHT-POINTING TRIANGLE WITH DOUBLE VERTICAL BAR
023F0	⏰	alarm_clock, alarm clock	ALARM CLOCK
023F1	⏱	stopwatch	STOPWATCH
023F2	⏲	timer clock, timer_clock	TIMER CLOCK
023F3	⏳	hourglass2	HOURGLASS WITH FLOWING SAND
23F8	⏸	pause	DOUBLE VERTICAL BAR
23F9	⏹	stop2	BLACK SQUARE FOR STOP
23FA	⏺	record	BLACK CIRCLE FOR RECORD
24C2	Ⓜ	m	CIRCLED LATIN CAPITAL LETTER M
025A0	■	square2	BLACK SQUARE
025A1	□	square	WHITE SQUARE
025AA	▪	black_small_square, small square2	BLACK SMALL SQUARE
025AB	▫	white_small_square, small square	WHITE SMALL SQUARE
025AC	▬	rectangle2	BLACK RECTANGLE
025AD	▭	rectangle	WHITE RECTANGLE
025B0	▰	parallelogram2	BLACK PARALLELOGRAM
025B1	▱	parallelogram	WHITE PARALLELOGRAM
025B2	▲	triangle2	BLACK UP-POINTING TRIANGLE
025B3	△	triangle	WHITE UP-POINTING TRIANGLE
25B6	▶	arrow_forward	BLACK RIGHT-POINTING TRIANGLE
25C0	◀	arrow_backward	BLACK LEFT-POINTING TRIANGLE
025CA	◊	lozenge	LOZENGE
025CB	○	circle	WHITE CIRCLE
025CF	●	circle2	BLACK CIRCLE
025E6	◦	bullet3	WHITE BULLET
025EF	◯	large circle	LARGE CIRCLE
025FB	◻	medium square	WHITE MEDIUM SQUARE
025FC	◼	medium square2	BLACK MEDIUM SQUARE
025FD	◽	smaller square	WHITE MEDIUM SMALL SQUARE
025FE	◾	smaller square2	BLACK MEDIUM SMALL SQUARE
02600	☀	sunny	BLACK SUN WITH RAYS
02601	☁	cloud	CLOUD
02603	☃	snowman	SNOWMAN
02604	☄	comet	COMET
0260E	☎	telephone, phone	BLACK TELEPHONE
02611	☑	ballot_box_with_check, checkbox2	BALLOT BOX WITH CHECK
02614	☔	umbrella, rain	UMBRELLA WITH RAIN DROPS
02615	☕	coffee	HOT BEVERAGE
2618	☘	shamrock	SHAMROCK
0261D	☝	point_up, up	WHITE UP POINTING INDEX
02620	☠	skull_and_crossbones, poison	SKULL AND CROSSBONES
02622	☢	radioactive	RADIOACTIVE SIGN
02623	☣	biohazard	BIOHAZARD SIGN
02626	☦	orthodox cross, orthodox_cross	ORTHODOX CROSS
0262A	☪	star and crescent, star_and_crescent	STAR AND CRESCENT
0262E	☮	peace	PEACE SYMBOL
0262F	☯	yin yang, yin_yang	YIN YANG
2638	☸	wheel_of_dharma	WHEEL OF DHARMA
02639	☹	frowning_face, frown	WHITE FROWNING FACE
0263A	☺	relaxed, smiling	WHITE SMILING FACE
