probe	ordinal	pdfFontSizePt
fine100	0	7.994
fine100	1	8.107
fine100	2	8.107
fine100	3	8.192
fine100	4	8.192
fine100	5	8.192
fine100	6	8.306
fine100	7	8.391
fine100	8	8.391
fine100	9	8.391
fine100	10	8.504
fine100	11	8.589
fine100	12	8.589
fine100	13	8.589
fine100	14	8.702
fine100	15	8.787
fine100	16	8.787
fine100	17	8.787
fine100	18	8.901
fine100	19	9.014
fine100	20	9.014
fine100	21	9.014
fine100	22	9.099
fine100	23	9.213
fine100	24	9.213
fine100	25	9.213
fine100	26	9.298
fine100	27	9.411
fine100	28	9.411
fine100	29	9.411
fine100	30	9.496
fine100	31	9.609
fine100	32	9.609
fine100	33	9.609
fine100	34	9.694
fine100	35	9.808
fine100	36	9.808
fine100	37	9.808
fine100	38	9.893
fine100	39	9.893
fine100	40	10.006
fine75	0	5.995
fine75	1	5.995
fine75	2	6.102
fine75	3	6.102
fine75	4	6.102
fine75	5	6.208
fine75	6	6.208
fine75	7	6.293
fine75	8	6.293
fine75	9	6.293
fine75	10	6.399
fine75	11	6.399
fine75	12	6.399
fine75	13	6.506
fine75	14	6.506
fine75	15	6.591
fine75	16	6.591
fine75	17	6.591
fine75	18	6.697
fine75	19	6.697
fine75	20	6.803
fine75	21	6.803
fine75	22	6.803
fine75	23	6.909
fine75	24	6.909
fine75	25	6.909
fine75	26	6.994
fine75	27	6.994
fine75	28	7.101
fine75	29	7.101
fine75	30	7.101
fine75	31	7.207
fine75	32	7.207
fine75	33	7.207
fine75	34	7.292
fine75	35	7.292
fine75	36	7.398
fine75	37	7.398
fine75	38	7.398
fine75	39	7.505
fine75	40	7.505
scale100	0	6.009
scale100	1	7.002
scale100	2	7.994
scale100	3	9.014
scale100	4	10.006
scale100	5	10.998
scale100	6	11.991
scale100	7	13.011
scale100	8	14.003
scale100	9	15.987
scale100	10	18
scale100	11	20.013
scale100	12	24.009
scale100	13	28.006
scale100	14	36
scale100	15	47.991
scale25	0	1.502
scale25	1	1.8
scale25	2	1.998
scale25	3	2.303
scale25	4	2.502
scale25	5	2.7
scale25	6	2.998
scale25	7	3.302
scale25	8	3.501
scale25	9	3.997
scale25	10	4.5
scale25	11	5.003
scale25	12	6.002
scale25	13	7.002
scale25	14	9
scale25	15	11.998
scale33	0	2.002
scale33	1	2.301
scale33	2	2.601
scale33	3	3.003
scale33	4	3.302
scale33	5	3.601
scale33	6	4.004
scale33	7	4.303
scale33	8	4.602
scale33	9	5.304
scale33	10	5.903
scale33	11	6.604
scale33	12	7.904
scale33	13	9.205
scale33	14	11.899
scale33	15	15.799
scale50	0	3.005
scale50	1	3.501
scale50	2	3.997
scale50	3	4.507
scale50	4	5.003
scale50	5	5.499
scale50	6	5.995
scale50	7	6.506
scale50	8	7.002
scale50	9	7.994
scale50	10	9
scale50	11	10.006
scale50	12	12.005
scale50	13	14.003
scale50	14	18
scale50	15	23.995
scale60	0	3.606
scale60	1	4.201
scale60	2	4.796
scale60	3	5.409
scale60	4	6.004
scale60	5	6.599
scale60	6	7.194
scale60	7	7.807
scale60	8	8.402
scale60	9	9.592
scale60	10	10.8
scale60	11	12.008
scale60	12	14.406
scale60	13	16.804
scale60	14	21.6
scale60	15	28.794
scale75	0	4.507
scale75	1	5.294
scale75	2	5.995
scale75	3	6.803
scale75	4	7.505
scale75	5	8.206
scale75	6	8.993
scale75	7	9.801
scale75	8	10.502
scale75	9	11.991
scale75	10	13.5
scale75	11	15.009
scale75	12	18.007
scale75	13	21.005
scale75	14	27
scale75	15	35.993
scale90	0	5.409
scale90	1	6.301
scale90	2	7.194
scale90	3	8.113
scale90	4	9.006
scale90	5	9.899
scale90	6	10.791
scale90	7	11.71
scale90	8	12.603
scale90	9	14.389
scale90	10	16.2
scale90	11	18.011
scale90	12	21.609
scale90	13	25.206
scale90	14	32.4
scale90	15	43.191
