slides/batch-007/ppt/architecture6.ppt	31	15.88	13.10	5	match
slides/batch-007/pptx/REDAC HF briefing Sep 2016_LARD_ATC_TO_FE_v2.pptx	18	4.85	5.78	0	match
slides/batch-006/ppt/ITE106-Chapter 4.ppt	47	40.11	37.67	12	match
slides/batch-007/pptx/Ensemble-pour-l-amelioration-de-la-securite-de-lac-AIRBUS.pptx	9	0.41	0.47	0	match
slides/batch-007/pptx/nabiyeleul_1_aviation_service_28_july_2020.pptx	9	3.34	3.97	1	match
slides/batch-007/pptx/bitesize-writing-a-report.pptx	15	4.49	3.08	2	match
slides/batch-006/ppt/ws_prod-g-doc-Events-r-6.-ESM.ppt	25	5.35	7.23	0	match
slides/batch-008/ppt/RESPA_-_Section_8_Webinar.ppt	35	5.84	6.72	0	match
slides/batch-006/pptx/Stakeholders-v08052017 - v5.pptx	13	1.08	1.57	0	match
slides/batch-008/ppt/71393_pp7.ppt	39	8.58	7.85	3	match
slides/batch-006/pptx/wopanets-innovationdays-06-16.pptx	15	0.75	1.10	0	match
slides/batch-008/pptx/10. Drawings, circuit diagrams and schematics.pptx	23	1.90	4.97	0	match
slides/batch-008/pptx/BHCA Part II webinar #2 - 10.2020.pptx	21	1.66	2.24	0	match
slides/batch-009/ppt/Airport Planning 09112013.ppt	9	0.70	0.85	0	match
slides/batch-008/ppt/concepts-surrounding-cloud-computing-carolyn-kranz-and-rich-prem-gb-seattle-2011.ppt	36	4.23	7.71	0	match
slides/batch-007/ppt/introduction_to_bea_tuxedo.ppt	40	8.52	8.74	2	match
slides/batch-009/pptx/G-InvoicingKeithJarboe.pptx	13	8.75	6.62	3	match
slides/batch-007/pptx/PAL Block Intro 2023.pptx	20	3.06	2.43	1	match
slides/batch-008/pptx/8_P-Pavese_AIRBUS-ATB-journee-CRATB.pptx	26	20.66	16.88	5	words
slides/batch-007/pptx/flying-by-numbers-presentation.pptx	10	19.41	12.78	10	match
slides/batch-009/pptx/airbus-powerpoint-presentation-2019-20-without-video_diy_2019-20.pptx	38	7.47	15.59	2	match
slides/batch-008/pptx/FIT26-Presentation-Airservices-Update.pptx	11	9.27	7.02	3	match
slides/batch-008/ppt/Framing Europe.ppt	24	33.49	24.53	9	match
slides/batch-010/ppt/Fundamentals_Module_1_basics.ppt	26	10.22	8.69	3	words
slides/batch-009/ppt/EG1_dsrc tech.ppt	26	9.37	9.08	2	match
slides/batch-009/pptx/NWD-GLA-Community-Outreach-Day-Oct-2025.pptx	13	0.40	0.57	0	words
slides/batch-008/ppt/joint_user_outcomes_michael_fullerton_29.06.12.ppt	20	5.11	5.08	1	match
slides/batch-010/pptx/30-04-2021 merged NDoH and NICD_Presentation HBV BD meeting 05May2021_1.pptx	18	2.72	5.20	0	match
slides/batch-009/pptx/item_3-environmental_process_briefing.pptx	12	1.08	1.14	0	match
slides/batch-008/pptx/AATF-Fact-Sheet-2025.pptx	9	4.99	2.50	3	match
slides/batch-010/pptx/HENTZEN_COMPOSITE_MATERIALS_IN_THE_AEROSPACE_INDUSTRY.pptx	12	8.58	6.11	3	match
slides/batch-010/ppt/W3_Case_Study_of_a_Tsunami_Warning_Simulation_Exercise_Ed.ppt	20	11.58	8.84	4	words
slides/batch-010/pptx/southern-classic-kennesaw-state-university-final.pptx	23	21.13	21.93	8	match
slides/batch-011/pptx/BasicMed_AME_Presentation.pptx	18	0.76	1.07	0	match
slides/batch-010/pptx/COMSTAC_11_5_2021am_2.pptx	39	2.90	4.15	0	match
slides/batch-011/pptx/John_Broggio__RSS_Campion_event_John_Broggio.pptx	25	5.41	4.42	2	match
slides/batch-009/ppt/8.16_AOD_FINAL_Provider_Training_Presentation_9_2009.ppt	94	41.01	32.42	13	match
slides/batch-010/pptx/Tax factsheet 2022 (1).pptx	27	1.64	2.27	0	match
slides/batch-011/pptx/passiv.pptx	21	8.41	3.91	6	match
slides/batch-012/pptx/23-session-2-pptx.pptx	16	2.84	1.12	2	match
slides/batch-009/ppt/Employment-Based_I-485.ppt	42	7.52	9.15	1	match
slides/batch-009/pptx/ROK-PI Climate Bulletin - Edition 2017-06.pptx	2	0.04	0.07	0	match
slides/batch-011/ppt/BUS-Chapter 05.ppt	50	5.58	6.80	1	match
slides/batch-009/pptx/redac-sas-201403-ppt-portfolio-rev-sim.pptx	14	3.58	3.41	1	match
slides/batch-011/pptx/Copy of Full deck with references Promotion of Outside Interests at Work final(1).pptx	33	5.34	6.07	2	match
slides/batch-010/ppt/iep-amount-frequency-for-webinar.ppt	39	7.37	9.03	0	match
slides/batch-011/pptx/REDAC Briefing_SSIT_CARA_08132014.ppt.pptx	14	4.48	4.90	0	match
slides/batch-010/pptx/FIT26-Presentation-PR-Briefing-Debrief-Airbus.pptx	9	1.15	1.44	0	match
slides/batch-010/pptx/[Christophe]NLP_reseau_inge_stat.pptx	17	2.00	1.03	1	match
slides/batch-011/pptx/section_1_our_rights_presentation.pptx	30	9.99	12.33	2	match
