901	DejaVuSans	86.45	63.64
??	DejaVuSans	86.45	63.64
?????	DejaVuSans	86.45	63.64
AKFJD O+ Courier	DejaVuSans	86.45	63.64
AR CENA	DejaVuSans	86.45	63.64
Abril Fatface	DejaVuSans	86.45	63.64
Adobe Fan Heiti Std B	DejaVuSans	86.45	63.64
Adobe Gothic Std B	DejaVuSans	86.45	63.64
Adobe Myungjo Std M	DejaVuSans	86.45	63.64
Aharoni	DejaVuSans	86.45	63.64
Alegreya Sans Bold	DejaVuSans	86.45	63.64
Alegreya Sans Bold Bold	DejaVuSans	86.45	63.64
Alegreya Sans Regular Bold	DejaVuSans	86.45	63.64
Amasis MT Pro Black	DejaVuSans	86.45	63.64
American Typewriter	DejaVuSans	86.45	63.64
Angsana New	DejaVuSans	86.45	63.64
Aparajita	DejaVuSans	86.45	63.64
Aptos	DejaVuSans	86.45	63.64
Aptos Display	DejaVuSans	86.45	63.64
Aptos Narrow	DejaVuSans	86.45	63.64
Arial	LiberationSans	75.61	55.63
Arial (Headings)	DejaVuSans	86.45	63.64
Arial Black	DejaVuSans	86.45	63.64
Arial Bold	DejaVuSans	86.45	63.64
Arial Gras	DejaVuSans	86.45	63.64
Arial MT	DejaVuSans	86.45	63.64
Arial Narrow	DejaVuSans	86.45	63.64
Arial Rounded MT Bold	DejaVuSans	86.45	63.64
Arial Unicode MS	DejaVuSans	86.45	63.64
Arial-BoldMT	DejaVuSans	86.45	63.64
ArialMT	DejaVuSans	86.45	63.64
AvantGarde Bk BT	DejaVuSans	86.45	63.64
Avenir Black	DejaVuSans	86.45	63.64
Avenir Book	DejaVuSans	86.45	63.64
Avenir LT Std 35 Light	DejaVuSans	86.45	63.64
Avenir Next LT Pro	DejaVuSans	86.45	63.64
Avenir Next LT Pro Demi	DejaVuSans	86.45	63.64
BMJOPD+Arial,Bold	DejaVuSans	86.45	63.64
BONIOO+Arial	DejaVuSans	86.45	63.64
Barcode 3 of 9 by request	DejaVuSans	86.45	63.64
Bell MT	DejaVuSans	86.45	63.64
Bierstadt	DejaVuSans	86.45	63.64
Blackadder ITC	DejaVuSans	86.45	63.64
Bodoni MT	DejaVuSans	86.45	63.64
Book Antiqua	DejaVuSans	86.45	63.64
Bookman Old Style	DejaVuSans	86.45	63.64
Bradley Hand ITC	DejaVuSans	86.45	63.64
Browallia New	DejaVuSans	86.45	63.64
CG Times	DejaVuSans	86.45	63.64
CG Times (W1)	DejaVuSans	86.45	63.64
CWFZGM+Myriad-BoldItalic	DejaVuSans	86.45	63.64
Calibri	Carlito	70.25	50.63
Calibri (Body)	DejaVuSans	86.45	63.64
Calibri Bold	DejaVuSans	86.45	63.64
Calibri Light	DejaVuSans	86.45	63.64
Calibri-Bold	DejaVuSans	86.45	63.64
Calisto MT	DejaVuSans	86.45	63.64
Cambria	Caladea	71.60	46.85
Cambria Math	UNKNOWN	69.27	50.03
Candara	DejaVuSans	86.45	63.64
Castellar	DejaVuSans	86.45	63.64
Century	DejaVuSans	86.45	63.64
Century Gothic	DejaVuSans	86.45	63.64
Century Schoolbook	DejaVuSans	86.45	63.64
Charlotte Sans Book	DejaVuSans	86.45	63.64
Comic Sans MS	DejaVuSans	86.45	63.64
ConduitITCStd Light	DejaVuSans	86.45	63.64
Consolas	DejaVuSansMono	90.35	60.24
Constantia	DejaVuSerif	88.27	63.64
Copperplate Gothic Bold	DejaVuSans	86.45	63.64
Copperplate Gothic Light	DejaVuSans	86.45	63.64
Corbel	DejaVuSans	86.45	63.64
Cordia New	DejaVuSans	86.45	63.64
Corpid E1s SCd Heavy	DejaVuSans	86.45	63.64
Corpid E1s SCd Light	DejaVuSans	86.45	63.64
CorpidOffice	DejaVuSans	86.45	63.64
CorpoS	DejaVuSans	86.45	63.64
Courier	LiberationMono	90.05	60.04
Courier New	LiberationMono	90.05	60.04
Courier Standard	DejaVuSans	86.45	63.64
DINPro-Medium	DejaVuSans	86.45	63.64
DINPro-Regular	DejaVuSans	86.45	63.64
DaunPenh	DejaVuSans	86.45	63.64
David	DejaVuSans	86.45	63.64
DejaVu Sans	DejaVuSans	86.45	63.64
DengXian	DejaVuSans	86.45	63.64
DengXian Light	DejaVuSans	86.45	63.64
Dialog	DejaVuSans	86.45	63.64
DilleniaUPC	DejaVuSans	86.45	63.64
DokChampa	DejaVuSans	86.45	63.64
Dutch	DejaVuSans	86.45	63.64
EK03Plain-B01	DejaVuSans	86.45	63.64
EUAlbertina	DejaVuSans	86.45	63.64
Ebrima	DejaVuSans	86.45	63.64
Estrangelo Edessa	DejaVuSans	86.45	63.64
Euphemia	DejaVuSans	86.45	63.64
Eurostile	DejaVuSans	86.45	63.64
FontAwesome	DejaVuSans	86.45	63.64
Franklin Gothic Book	DejaVuSans	86.45	63.64
Franklin Gothic Heavy	DejaVuSans	86.45	63.64
Franklin Gothic Medium	DejaVuSans	86.45	63.64
Frutiger 45 Light	DejaVuSans	86.45	63.64
Futura	DejaVuSans	86.45	63.64
Futura Std Book	DejaVuSans	86.45	63.64
Futura Std Light	DejaVuSans	86.45	63.64
Futura Std Medium	DejaVuSans	86.45	63.64
Gadugi	DejaVuSans	86.45	63.64
Garamond	DejaVuSerif	88.27	63.64
Gautami	DejaVuSans	86.45	63.64
Georgia	DejaVuSerif	88.27	63.64
Gill Sans	DejaVuSans	86.45	63.64
Gill Sans MT	DejaVuSans	86.45	63.64
Gisha	DejaVuSans	86.45	63.64
HGP明朝E	DejaVuSans	86.45	63.64
HGS明朝E	DejaVuSans	86.45	63.64
