path	ext	pages	words	fonts	unemb	verdict
words/batch-011/doc/135.doc	doc	14/14	5275/5270	4/7	0	match
words/batch-011/doc/1528364855.doc	doc	3/3	1095/1095	4/5	0	match
words/batch-011/docx/FG-AI4NDM-TR-skeleton_template.docx	docx	6/5	411/438	6/7	0	pages,words
words/batch-011/docx/b053-19.docx	docx	2/2	493/493	2/2	0	match
words/batch-011/docx/eTAR_External_Web_tool_Tip_Sheet_mh.docx	docx	4/4	930/930	3/3	0	match
words/batch-011/docx/f2_registro_de_aprovacao_com_pbcs_EN.docx	docx	2/2	462/458	4/4	0	match
words/batch-011/docx/part-145-approval list (1).docx	docx	8/8	1545/1552	5/5	0	match
words/batch-011/docx/part-145-approval list 2025.docx	docx	7/7	1414/1419	5/5	0	match
words/batch-011/docx/review-welsh-government-communications-mister-peter-mandelson.docx	docx	16/14	3051/3040	5/6	0	pages
words/batch-011/docx/tibs_guidelines_2.docx	docx	13/13	3174/3160	7/8	0	match
words/batch-015/doc/644730BRI0mna000BOX361539B00public0.doc	doc	5/5	2333/2330	7/7	0	match
words/batch-015/doc/A320SimNotes.doc	doc	40/42	13912/14025	5/10	0	pages
words/batch-015/doc/info-bulletin-601.doc	doc	5/6	1304/1304	4/5	0	pages
words/batch-015/docx/1603642410-MoM-CASCOM-06-2020-draft04.docx	docx	9/9	4527/4527	7/8	0	match
words/batch-015/docx/1_tpr_template__from_fy14_.docx	docx	9/8	3575/3574	9/10	0	pages
words/batch-015/docx/B11. TE.CAO.00129  Experience  logbook.docx	docx	7/6	1181/1278	6/6	0	pages,words
words/batch-015/docx/Regulations Governing the Status, Basic Rights and Duties of Officials other than Secretariat Officials, and Experts on Mission.docx	docx	18/18	6448/6451	4/4	0	match
words/batch-015/docx/approvals-and-standardisation-organisation-approvals-docs-part-145-annex-B-B11.-TE.CAO.00129-Foreign-Part-145-approvals---Experience--logbook.docx	docx	6/6	1183/1110	6/6	0	words
words/batch-015/docx/exhibit-06---technical-architecture-template.docx	docx	8/8	1082/1081	10/11	0	match
words/batch-015/docx/hdss-bulletin-issue-285-25-june-2025.docx	docx	11/10	3607/3537	6/7	0	pages
words/batch-019/doc/150_5335_5a.doc	doc	63/63	19184/19195	8/8	0	match
words/batch-019/docx/02_mcar_part-2_and_IS_v2.10.docx	docx	317/312	80806/80538	4/4	0	pages
words/batch-019/docx/24-25_FAA_Holdover_Tables.docx	docx	143/141	70738/70663	8/9	0	pages
words/batch-019/docx/33004.docx	docx	48/47	12040/12032	13/14	0	pages
words/batch-019/docx/CRIF - Sp̩cification technique - Socle applicatif.docx	docx	32/29	6371/6807	8/10	0	pages,words
