slides/batch-001/pptx/BMFE-06-03 (Gerflor) Smoke Density and Toxicity.pptx	A	6/6 762/761 match	B	6/6 761/761 match
slides/batch-002/ppt/080214-Intl-pol-frameworks-and-their-implications-for-Africa-ISS-workshop.ppt	A	18/18 818/815 match	B	18/18 816/815 match
slides/batch-002/ppt/gfopportunitiesforlinkagespres_2010_en.ppt	A	27/27 1661/1657 match	B	27/27 1652/1657 match
slides/batch-002/ppt/ws_prod-g-doc-Events-2007-Approval-of-Flight-Conditions-RM-NAA-16032007.ppt	A	14/14 764/763 match	B	14/14 763/763 match
slides/batch-002/ppt/ws_prod-g-doc-Events-2007-may-presentation-PtF-background-+-principles.ppt	A	20/20 919/925 match	B	20/20 918/925 match
slides/batch-002/ppt/ws_prod-g-doc-Events-Part-M-presentation.ppt	A	30/30 1849/1849 match	B	30/30 1848/1849 match
slides/batch-003/ppt/outlook_of_nigerian_pension_sector.ppt	A	12/12 1031/1029 match	B	12/12 1029/1029 match
slides/batch-003/pptx/dhs-293364.pptx	A	39/39 3665/3665 match	B	39/39 3664/3665 match
slides/batch-004/ppt/undp_presentation_revised_17_may.ppt	A	22/22 1883/1909 match	B	22/22 1880/1909 match
slides/batch-004/pptx/solog_orientation_august_2019.pptx	A	15/15 677/682 match	B	15/15 673/682 match
slides/batch-004/pptx/ghgp-supply-chain-initiative_20100323_wri.pptx	A	52/52 3939/3938 match	B	52/52 3937/3938 match
slides/batch-005/ppt/0335fab9-79f0-4944-b92c-f223837ca2d8.ppt	A	12/12 619/620 match	B	12/12 617/620 match
slides/batch-005/ppt/berlin.ppt	A	29/29 1386/1395 match	B	29/29 1384/1395 match
slides/batch-005/pptx/NAS-Infrastructure-Roadmaps-Weather.pptx	A	11/11 2142/2141 match	B	11/11 2140/2141 match
slides/batch-005/pptx/attendance-updates-for-governors.pptx	A	30/30 3065/3071 match	B	30/30 3063/3071 match
slides/batch-005/pptx/manufacturing_process_simulation_working_group_overview_2023.pptx	A	7/7 733/730 match	B	7/7 730/730 match
slides/batch-006/ppt/ITE106-Chapter 4.ppt	A	47/47 3147/3143 match	B	47/47 3143/3143 match
slides/batch-006/ppt/Lepore.ppt	A	20/20 1819/1827 match	B	20/20 1817/1827 match
slides/batch-006/pptx/Course Selection 2025-26 Current Grade 09.pptx	A	10/10 697/695 match	B	10/10 695/695 match
slides/batch-006/pptx/Stakeholders-v08052017 - v5.pptx	A	13/13 565/566 match	B	13/13 563/566 match
