probe           L.model    L.ink     ours     dL  B.model    B.ink     ours     dB     dR     dT
rot-n12          108.06   108.06   108.45   0.39    88.97    89.01    89.06   0.09   0.00  -0.04
rot-n13          108.06   108.06   108.45   0.39    88.97    89.01    89.06   0.09   0.00  -0.04
rot-n14          108.06   108.06   108.45   0.39    88.97    89.01   118.00  29.03   0.00  -0.04
rot-n15          108.06   108.06   108.45   0.39    88.97    89.01   118.00  29.03   0.00  -0.04
rot-n16          108.06   108.06   108.45   0.39   110.06   110.10   118.00   7.94   0.00  -0.04
rot-n17          108.06   108.06   108.45   0.39   110.06   110.10   118.00   7.94   0.00  -0.04
rot-n18          108.06   108.06   108.45   0.39   110.06   110.10   118.00   7.94   0.00  -0.04
rot-n20          108.06   108.06   108.45   0.39   110.06   110.10   118.00   7.94   0.00  -0.04
rot-n32          108.06   108.06   108.45   0.39   110.06   110.10   118.00   7.94   0.00  -0.04
rot-s1200        108.23   108.23   112.02   3.79   117.45   117.50   126.00   8.55   0.00  -1.16
rot-s1400        115.26   115.26   115.64   0.38   125.42   125.46   134.08   8.66   0.00  -2.29
rot-s700         108.06   108.06   103.04  -5.02   100.02   100.06   105.91   5.89   0.00   1.66
rot-s900         108.06   108.06   106.66  -1.40   107.96   108.00   113.98   6.02   0.00   0.54
rot-w04          108.06   108.06   108.45   0.39   102.09   102.13   109.51   7.42   0.00  -0.04
rot-w06          108.06   108.06   108.45   0.39   110.06   110.10   118.00   7.94   0.00  -0.04
rot-w08          110.15   110.15   108.45  -1.70   118.53   118.57   126.49   7.96   0.00  -0.04
rot-w10          118.80   118.80   108.45 -10.35   127.06   127.11   134.99   7.93   0.00  -0.04
rot-w12          126.91   126.91   108.45 -18.46   135.00   135.04   143.48   8.48   0.00  -0.04
