Reader Instructions	0	14176.1
Reader Instructions	1	963.2
Reader Instructions	2	1188.9
010 Air Law	0	490.9
010 Air Law	1	5834.9
010 Air Law	2	1649.2
010 Air Law	3	1632.8
010 Air Law	4	1665.1
010 Air Law	5	6215.8
010 Air Law	6	490.9
010 Air Law	7	490.9
010 Air Law	8	490.9
010 Air Law	9	490.9
010 Air Law	10	490.9
010 Air Law	11	490.9
010 Air Law	12	490.9
010 Air Law	13	490.9
010 Air Law	14	490.9
010 Air Law	15	490.9
010 Air Law	16	490.9
010 Air Law	17	490.9
010 Air Law	18	490.9
010 Air Law	19	490.9
010 Air Law	20	490.9
021 AGK Airframe, Systems...	0	602.1
021 AGK Airframe, Systems...	1	5296.3
021 AGK Airframe, Systems...	2	1839.2
021 AGK Airframe, Systems...	3	1807.9
021 AGK Airframe, Systems...	4	1665.1
021 AGK Airframe, Systems...	5	5312.2
021 AGK Airframe, Systems...	6	506.9
021 AGK Airframe, Systems...	7	506.9
021 AGK Airframe, Systems...	8	506.9
021 AGK Airframe, Systems...	9	506.9
021 AGK Airframe, Systems...	10	506.9
021 AGK Airframe, Systems...	11	506.9
021 AGK Airframe, Systems...	12	506.9
021 AGK Airframe, Systems...	13	506.9
021 AGK Airframe, Systems...	14	506.9
021 AGK Airframe, Systems...	15	506.9
021 AGK Airframe, Systems...	16	506.9
021 AGK Airframe, Systems...	17	506.9
021 AGK Airframe, Systems...	18	506.9
021 AGK Airframe, Systems...	19	506.9
021 AGK Airframe, Systems...	20	506.9
022 AGK Instrumentation	0	650.3
022 AGK Instrumentation	1	5818.9
022 AGK Instrumentation	2	1569.9
022 AGK Instrumentation	3	1632.8
022 AGK Instrumentation	4	1522.2
022 AGK Instrumentation	5	5818.9
022 AGK Instrumentation	6	523.3
022 AGK Instrumentation	7	523.3
022 AGK Instrumentation	8	523.3
022 AGK Instrumentation	9	523.3
022 AGK Instrumentation	10	523.3
022 AGK Instrumentation	11	523.3
022 AGK Instrumentation	12	523.3
022 AGK Instrumentation	13	523.3
022 AGK Instrumentation	14	523.3
022 AGK Instrumentation	15	523.3
022 AGK Instrumentation	16	523.3
022 AGK Instrumentation	17	523.3
022 AGK Instrumentation	18	523.3
022 AGK Instrumentation	19	523.3
022 AGK Instrumentation	20	523.3
031-Mass-&-Balance-final	0	650.3
