slides/batch-006/ppt/ITE106-Chapter 4.ppt	ppt	47/47	3147/3143	8/7	0	match
slides/batch-006/ppt/Lepore.ppt	ppt	20/20	1819/1827	5/5	0	match
slides/batch-006/ppt/pods05.ppt	ppt	60/60	1977/1981	9/10	0	match
slides/batch-006/ppt/ws_prod-g-doc-Events-r-6.-ESM.ppt	ppt	25/25	2045/2045	4/6	0	match
slides/batch-006/pptx/Course Selection 2025-26 Current Grade 09.pptx	pptx	10/10	697/695	2/3	0	match
slides/batch-006/pptx/NAS-Infrastructure-Roadmaps-HSI.pptx	pptx	9/9	1428/1428	5/5	0	match
slides/batch-006/pptx/Stakeholders-v08052017 - v5.pptx	pptx	13/13	565/566	6/7	0	match
slides/batch-006/pptx/iris07.12.12.pptx	pptx	21/21	894/895	9/9	0	match
slides/batch-006/pptx/social-media-app-bulletin-january.pptx	pptx	4/4	792/792	4/4	0	match
slides/batch-006/pptx/wopanets-innovationdays-06-16.pptx	pptx	15/15	569/569	3/3	0	match
slides/batch-007/ppt/1-secretariat.ppt	ppt	10/10	154/154	3/3	0	match
slides/batch-007/ppt/architecture6.ppt	ppt	31/31	1928/1928	4/5	0	match
slides/batch-007/ppt/introduction_to_bea_tuxedo.ppt	ppt	40/40	1849/1833	7/7	0	match
slides/batch-007/pptx/Boeing 737 Max - Group 5.pptx	pptx	2/2	7/7	1/1	0	match
slides/batch-007/pptx/Ensemble-pour-l-amelioration-de-la-securite-de-lac-AIRBUS.pptx	pptx	9/9	633/633	4/4	0	match
slides/batch-007/pptx/PAL Block Intro 2023.pptx	pptx	20/20	1469/1468	7/6	0	match
slides/batch-007/pptx/REDAC HF briefing Sep 2016_LARD_ATC_TO_FE_v2.pptx	pptx	18/18	2132/2131	5/6	0	match
slides/batch-007/pptx/bitesize-writing-a-report.pptx	pptx	15/15	656/658	7/5	0	match
slides/batch-007/pptx/flying-by-numbers-presentation.pptx	pptx	10/10	560/560	7/8	0	match
